# ------------------------------------------------------------------------------
# host         exp-id     ttc     ttc     ttc     ttc     # comp.   mem  disk
#                       total    comp     mem    disk  apps  load  load  load
#                         sec     sec     sec     sec       MFLOP MByte MByte
# ------------------------------------------------------------------------------
boskop     WS.C.20.12 -------   45.39    0.04    0.56    20  6000     0     0
boskop     WS.C.20.13 -------   47.28    0.03    0.69    20  6000     0     0
boskop     WS.C.20.14 -------   46.04    0.03    0.83    20  6000     0     0
boskop     WS.C.20.15 -------   47.59    0.03    0.80    20  6000     0     0
boskop     WS.C.20.16 -------   45.51    0.05    0.73    20  6000     0     0
boskop     WS.C.20.17 -------   46.67    0.08    0.72    20  6000     0     0
boskop     WS.C.20.18 -------   47.00    0.06    0.71    20  6000     0     0
boskop     WS.C.20.19 -------   44.78    0.02    0.76    20  6000     0     0
boskop     WS.C.20.20 -------   45.89    0.03    0.75    20  6000     0     0
boskop     WS.C.20      48.20 ------- ------- -------    20  6000     0     0
boskop     WS.C.21.01 -------   49.87    0.00    0.82    21  6000     0     0
boskop     WS.C.21.02 -------   46.88    0.01    0.82    21  6000     0     0
boskop     WS.C.21.03 -------   50.00    0.02    0.74    21  6000     0     0
boskop     WS.C.21.04 -------   50.16    0.02    0.63    21  6000     0     0
boskop     WS.C.21.05 -------   49.62    0.03    0.80    21  6000     0     0
boskop     WS.C.21.06 -------   49.65    0.00    0.52    21  6000     0     0
boskop     WS.C.21.07 -------   48.22    0.01    0.79    21  6000     0     0
boskop     WS.C.21.08 -------   50.51    0.01    0.78    21  6000     0     0
boskop     WS.C.21.09 -------   50.23    0.02    0.77    21  6000     0     0
boskop     WS.C.21.10 -------   48.98    0.03    0.58    21  6000     0     0
boskop     WS.C.21.11 -------   49.88    0.03    0.54    21  6000     0     0
boskop     WS.C.21.12 -------   49.95    0.02    0.82    21  6000     0     0
boskop     WS.C.21.13 -------   48.07    0.03    0.80    21  6000     0     0
boskop     WS.C.21.14 -------   45.61    0.06    0.76    21  6000     0     0
boskop     WS.C.21.15 -------   49.95    0.06    0.77    21  6000     0     0
boskop     WS.C.21.16 -------   49.77    0.03    0.73    21  6000     0     0
boskop     WS.C.21.17 -------   48.99    0.04    0.69    21  6000     0     0
boskop     WS.C.21.18 -------   48.43    0.06    0.69    21  6000     0     0
boskop     WS.C.21.19 -------   47.50    0.03    0.67    21  6000     0     0
boskop     WS.C.21.20 -------   49.32    0.04    0.65    21  6000     0     0
boskop     WS.C.21.21 -------   49.39    0.02    0.48    21  6000     0     0
boskop     WS.C.21      50.84 ------- ------- -------    21  6000     0     0
boskop     WS.C.22.01 -------   52.55    0.00    0.87    22  6000     0     0
boskop     WS.C.22.02 -------   52.85    0.00    0.49    22  6000     0     0
boskop     WS.C.22.03 -------   47.22    0.01    0.66    22  6000     0     0
boskop     WS.C.22.04 -------   52.77    0.02    0.56    22  6000     0     0
boskop     WS.C.22.05 -------   50.59    0.03    0.57    22  6000     0     0
boskop     WS.C.22.06 -------   52.42    0.01    0.49    22  6000     0     0
boskop     WS.C.22.07 -------   52.36    0.02    0.63    22  6000     0     0
boskop     WS.C.22.08 -------   51.74    0.04    0.62    22  6000     0     0
boskop     WS.C.22.09 -------   52.27    0.02    0.61    22  6000     0     0
boskop     WS.C.22.10 -------   50.10    0.05    0.60    22  6000     0     0
boskop     WS.C.22.11 -------   50.78    0.03    0.73    22  6000     0     0
boskop     WS.C.22.12 -------   52.60    0.03    0.52    22  6000     0     0
boskop     WS.C.22.13 -------   52.30    0.04    0.71    22  6000     0     0
boskop     WS.C.22.14 -------   52.23    0.02    0.86    22  6000     0     0
boskop     WS.C.22.15 -------   51.80    0.04    0.67    22  6000     0     0
