# host                  id     x     y     z    t_real     t_cpu     t_mem      t_io       cpu util  eff  load       mem        io
boskop            EMU.0080    80    80   250      4.72      0.15      1.39      0.17    527.61 0.08 0.56  0.28    240.38      2.00
boskop            EMU.0080    80    80   250      4.72      0.15      1.38      0.17    530.57 0.08 0.56  0.26    240.38      2.00
boskop            EMU.0080    80    80   250      4.72      0.15      1.38      0.18    530.81 0.08 0.56  0.24    240.38      2.00
boskop            EMU.0080    80    80   250      4.74      0.15      1.40      0.17    534.44 0.08 0.56  0.54    240.38      2.00
boskop       MEAN_EMU.0080    80    80   250      4.72      0.15      1.39      0.18    531.29 0.08 0.56  0.33    240.38      2.00
boskop        STD_EMU.0080    80    80   250      0.02      0.00      0.02      0.01      2.02 0.00 0.00  0.08      0.00      0.00
boskop       STAT_EMU.0080    80    80   250      4.72      0.02      0.15      0.00      1.39      0.02      0.18      0.01    531.29      2.02 0.08 0.00 0.56 0.00  0.33  0.08    240.38      0.00      2.00      0.00

boskop            PRO.0160   160   160   250      3.90 --------- --------- ---------    363.09 0.07 0.82  0.57    246.00      5.62
boskop            PRO.0160   160   160   250      3.89 --------- --------- ---------    356.78 0.07 0.82  0.57    246.00      5.62
boskop            PRO.0160   160   160   250      3.88 --------- --------- ---------    358.22 0.07 0.82  0.53    245.99      5.62
boskop            PRO.0160   160   160   250      3.88 --------- --------- ---------    358.67 0.07 0.82  0.49    246.00      5.62
boskop            PRO.0160   160   160   250      3.89 --------- --------- ---------    356.36 0.07 0.82  0.45    246.00      5.62
boskop            PRO.0160   160   160   250      3.89 --------- --------- ---------    356.01 0.07 0.82  0.45    246.00      5.62
boskop            PRO.0160   160   160   250      3.89 --------- --------- ---------    358.31 0.07 0.82  0.41    246.00      5.62
boskop            PRO.0160   160   160   250      3.88 --------- --------- ---------    358.32 0.07 0.82  0.38    246.00      5.62
boskop            PRO.0160   160   160   250      3.88 --------- --------- ---------    358.28 0.07 0.82  0.43    246.00      5.62
boskop            PRO.0160   160   160   250      3.88 --------- --------- ---------    358.92 0.07 0.82  0.47    246.00      5.62
boskop       MEAN_PRO.0160   160   160   250      3.89 --------- --------- ---------    358.30 0.07 0.82  0.47    246.00      5.62
boskop        STD_PRO.0160   160   160   250      0.01 --------- --------- ---------      1.86 0.00 0.00  0.06      0.00      0.00
boskop       STAT_PRO.0160   160   160   250      3.89      0.01 --------- --------- --------- --------- --------- ---------    358.30      1.86 0.07 0.00 0.82 0.00  0.47  0.06    246.00      0.00      5.62      0.00
boskop            EMU.0160   160   160   250      4.76      0.56      1.42      0.20    779.44 0.12 0.61  0.52    245.27      6.00
boskop            EMU.0160   160   160   250      4.78      0.56      1.44      0.19    787.52 0.12 0.61  0.52    245.27      6.00
boskop            EMU.0160   160   160   250      4.78      0.57      1.44      0.21    786.08 0.12 0.61  0.63    245.27      6.00
boskop            EMU.0160   160   160   250      4.76      0.56      1.42      0.22    785.72 0.12 0.61  0.66    245.27      6.00
boskop            EMU.0160   160   160   250      4.75      0.56      1.42      0.20    783.66 0.12 0.61  0.61    245.27      6.00
boskop            EMU.0160   160   160   250      4.78      0.56      1.44      0.21    785.09 0.12 0.61  0.56    245.27      6.00
boskop            EMU.0160   160   160   250      4.78      0.56      1.44      0.23    785.63 0.12 0.61  0.52    245.27      6.00
boskop            EMU.0160   160   160   250      4.77      0.56      1.44      0.20    784.84 0.12 0.61  0.47    245.27      6.00
boskop            EMU.0160   160   160   250      4.75      0.56      1.41      0.22    782.45 0.12 0.61  0.44    245.27      6.00
boskop            EMU.0160   160   160   250      4.77      0.56      1.43      0.21    787.59 0.12 0.61  0.40    245.27      6.00
boskop       MEAN_EMU.0160   160   160   250      4.77      0.56      1.43      0.21    784.80 0.12 0.61  0.53    245.27      6.00
boskop        STD_EMU.0160   160   160   250      0.01      0.00      0.01      0.01      2.32 0.00 0.00  0.08      0.00      0.00
boskop       STAT_EMU.0160   160   160   250      4.77      0.01      0.56      0.00      1.43      0.01      0.21      0.01    784.80      2.32 0.12 0.00 0.61 0.00  0.53  0.08    245.27      0.00      6.00      0.00

boskop            PRO.0320   320   320   250      5.55 --------- --------- ---------   1431.71 0.19 0.83  0.37    266.92     22.47
boskop            PRO.0320   320   320   250      5.55 --------- --------- ---------   1433.06 0.19 0.83  0.34    266.91     22.47
boskop            PRO.0320   320   320   250      5.56 --------- --------- ---------   1449.41 0.19 0.83  0.31    266.91     22.47
boskop            PRO.0320   320   320   250      5.54 --------- --------- ---------   1432.51 0.19 0.83  0.34    266.91     22.47
boskop            PRO.0320   320   320   250      5.57 --------- --------- ---------   1437.24 0.19 0.83  0.40    266.91     22.47
boskop            PRO.0320   320   320   250      5.54 --------- --------- ---------   1431.07 0.19 0.83  0.45    266.91     22.47
boskop            PRO.0320   320   320   250      5.57 --------- --------- ---------   1439.12 0.19 0.82  0.49    266.92     22.47
boskop            PRO.0320   320   320   250      5.52 --------- --------- ---------   1430.55 0.19 0.83  0.45    266.91     22.47
boskop            PRO.0320   320   320   250      5.58 --------- --------- ---------   1447.35 0.19 0.82  0.49    266.91     22.47
boskop            PRO.0320   320   320   250      5.55 --------- --------- ---------   1432.39 0.19 0.83  0.45    266.91     22.47
boskop       MEAN_PRO.0320   320   320   250      5.55 --------- --------- ---------   1436.44 0.19 0.83  0.41    266.91     22.47
boskop        STD_PRO.0320   320   320   250      0.02 --------- --------- ---------      6.51 0.00 0.00  0.06      0.00      0.00
boskop       STAT_PRO.0320   320   320   250      5.55      0.02 --------- --------- --------- --------- --------- ---------   1436.44      6.51 0.19 0.00 0.83 0.00  0.41  0.06    266.91      0.00     22.47      0.00
boskop            EMU.0320   320   320   250      5.55      2.21      1.58      0.35   1830.49 0.25 0.68  0.42    266.41     23.00
boskop            EMU.0320   320   320   250      5.55      2.21      1.57      0.32   1831.77 0.25 0.68  0.38    266.41     23.00
boskop            EMU.0320   320   320   250      5.54      2.20      1.51      0.33   1829.09 0.25 0.69  0.35    266.41     23.00
boskop            EMU.0320   320   320   250      5.55      2.21      1.55      0.32   1834.33 0.25 0.68  0.46    266.41     23.00
boskop            EMU.0320   320   320   250      5.52      2.18      1.56      0.33   1825.13 0.25 0.69  0.46    266.41     23.00
boskop            EMU.0320   320   320   250      5.54      2.20      1.50      0.34   1829.86 0.25 0.69  0.63    266.41     23.00
boskop            EMU.0320   320   320   250      5.55      2.21      1.58      0.30   1830.15 0.25 0.68  0.66    266.41     23.00
boskop            EMU.0320   320   320   250      5.54      2.20      1.58      0.34   1834.63 0.25 0.68  0.61    266.41     23.00
boskop            EMU.0320   320   320   250      5.56      2.22      1.57      0.33   1834.98 0.25 0.68  0.56    266.41     23.00
boskop            EMU.0320   320   320   250      5.55      2.22      1.57      0.34   1833.00 0.25 0.68  0.51    266.41     23.00
boskop       MEAN_EMU.0320   320   320   250      5.54      2.21      1.56      0.33   1831.34 0.25 0.68  0.50    266.41     23.00
boskop        STD_EMU.0320   320   320   250      0.01      0.01      0.03      0.01      2.90 0.00 0.00  0.10      0.00      0.00
boskop       STAT_EMU.0320   320   320   250      5.54      0.01      2.21      0.01      1.56      0.03      0.33      0.01   1831.34      2.90 0.25 0.00 0.68 0.00  0.50  0.10    266.41      0.00     23.00      0.00

boskop            PRO.0640   640   640   250     12.54 --------- --------- ---------   5756.53 0.34 0.82  0.48    350.34     89.86
boskop            PRO.0640   640   640   250     12.79 --------- --------- ---------   5755.53 0.34 0.82  0.56    350.33     89.86
boskop            PRO.0640   640   640   250     12.90 --------- --------- ---------   5775.35 0.33 0.82  0.52    350.33     89.86
boskop            PRO.0640   640   640   250     12.42 --------- --------- ---------   5760.76 0.35 0.83  0.67    350.33     89.86
boskop            PRO.0640   640   640   250     12.49 --------- --------- ---------   5754.52 0.34 0.82  0.68    350.33     89.86
boskop            PRO.0640   640   640   250     12.81 --------- --------- ---------   5753.22 0.34 0.82  0.83    350.33     89.86
boskop            PRO.0640   640   640   250     12.45 --------- --------- ---------   5743.01 0.34 0.82  0.83    350.33     89.86
boskop            PRO.0640   640   640   250     12.67 --------- --------- ---------   5753.07 0.34 0.82  0.76    350.33     89.86
boskop            PRO.0640   640   640   250     13.05 --------- --------- ---------   5758.68 0.33 0.82  0.88    350.33     89.86
boskop            PRO.0640   640   640   250     12.40 --------- --------- ---------   5760.71 0.35 0.82  0.84    350.33     89.86
boskop       MEAN_PRO.0640   640   640   250     12.65 --------- --------- ---------   5757.14 0.34 0.82  0.70    350.33     89.86
boskop        STD_PRO.0640   640   640   250      0.21 --------- --------- ---------      7.75 0.01 0.00  0.14      0.00      0.00
boskop       STAT_PRO.0640   640   640   250     12.65      0.21 --------- --------- --------- --------- --------- ---------   5757.14      7.75 0.34 0.01 0.82 0.00  0.70  0.14    350.33      0.00     89.86      0.00
boskop            EMU.0640   640   640   250     12.07      8.73      2.08      0.93   6032.05 0.37 0.73  1.08    350.20     90.00
boskop            EMU.0640   640   640   250     12.12      8.79      2.06      0.93   6033.58 0.37 0.73  1.08    350.20     90.00
boskop            EMU.0640   640   640   250     12.11      8.78      2.07      0.95   6028.04 0.37 0.73  0.99    350.20     90.00
boskop            EMU.0640   640   640   250     12.14      8.80      1.99      0.95   6035.30 0.37 0.73  1.00    350.20     90.00
boskop            EMU.0640   640   640   250     12.10      8.77      2.07      0.93   6037.78 0.37 0.73  0.93    350.20     90.00
boskop            EMU.0640   640   640   250     12.11      8.77      2.04      0.94   6027.31 0.37 0.73  1.02    350.20     90.00
boskop            EMU.0640   640   640   250     11.99      8.65      2.07      0.96   6045.22 0.38 0.73  1.03    350.20     90.00
boskop            EMU.0640   640   640   250     12.08      8.74      2.07      0.94   6048.45 0.37 0.73  1.03    350.20     90.00
boskop            EMU.0640   640   640   250     12.14      8.80      2.07      0.94   6038.14 0.37 0.73  1.02    350.20     90.00
boskop            EMU.0640   640   640   250     12.12      8.78      2.08      0.93   6031.86 0.37 0.73  1.10    350.20     90.00
boskop       MEAN_EMU.0640   640   640   250     12.10      8.76      2.06      0.94   6035.77 0.37 0.73  1.03    350.20     90.00
boskop        STD_EMU.0640   640   640   250      0.04      0.04      0.03      0.01      6.52 0.00 0.00  0.05      0.00      0.00
boskop       STAT_EMU.0640   640   640   250     12.10      0.04      8.76      0.04      2.06      0.03      0.94      0.01   6035.77      6.52 0.37 0.00 0.73 0.00  1.03  0.05    350.20      0.00     90.00      0.00

boskop            PRO.1280  1280  1280   250     40.66 --------- --------- ---------  23062.80 0.42 0.82  1.10    684.67    359.41
boskop            PRO.1280  1280  1280   250     40.17 --------- --------- ---------  23118.27 0.43 0.82  1.01    684.67    359.41
boskop            PRO.1280  1280  1280   250     40.09 --------- --------- ---------  23128.06 0.43 0.82  1.07    684.67    359.41
boskop            PRO.1280  1280  1280   250     41.19 --------- --------- ---------  23090.43 0.42 0.82  1.17    684.67    359.41
boskop            PRO.1280  1280  1280   250     39.70 --------- --------- ---------  23102.51 0.43 0.82  1.26    684.67    359.41
boskop            PRO.1280  1280  1280   250     40.60 --------- --------- ---------  23118.54 0.43 0.82  1.16    684.67    359.41
boskop            PRO.1280  1280  1280   250     41.91 --------- --------- ---------  23128.82 0.41 0.82  1.37    684.67    359.41
boskop            PRO.1280  1280  1280   250     42.58 --------- --------- ---------  23101.50 0.41 0.82  1.37    684.67    359.41
boskop            PRO.1280  1280  1280   250     40.55 --------- --------- ---------  23101.60 0.43 0.82  1.18    684.67    359.41
boskop            PRO.1280  1280  1280   250     40.50 --------- --------- ---------  23086.33 0.43 0.82  1.13    684.68    359.41
boskop       MEAN_PRO.1280  1280  1280   250     40.80 --------- --------- ---------  23103.89 0.42 0.82  1.18    684.67    359.41
boskop        STD_PRO.1280  1280  1280   250      0.83 --------- --------- ---------     19.54 0.01 0.00  0.11      0.00      0.00
boskop       STAT_PRO.1280  1280  1280   250     40.80      0.83 --------- --------- --------- --------- --------- ---------  23103.89     19.54 0.42 0.01 0.82 0.00  1.18  0.11    684.67      0.00    359.41      0.00
boskop            EMU.1280  1280  1280   250     38.29     34.95      4.06      3.24  22938.39 0.45 0.75  1.30    684.33    360.00
boskop            EMU.1280  1280  1280   250     38.44     35.11      4.05      3.22  22930.13 0.45 0.75  1.28    684.33    360.00
boskop            EMU.1280  1280  1280   250     37.99     34.66      3.88      3.22  22925.98 0.45 0.75  1.40    684.33    360.00
boskop            EMU.1280  1280  1280   250     38.25     34.92      4.04      3.23  22931.74 0.45 0.75  1.29    684.33    360.00
boskop            EMU.1280  1280  1280   250     38.46     35.12      4.01      3.19  22939.31 0.45 0.75  1.17    684.33    360.00
boskop            EMU.1280  1280  1280   250     38.25     34.91      4.04      3.26  22932.65 0.45 0.75  1.19    684.33    360.00
boskop            EMU.1280  1280  1280   250     38.32     34.99      4.04      3.20  22929.62 0.45 0.75  1.27    684.33    360.00
boskop            EMU.1280  1280  1280   250     38.48     35.14      4.04      3.24  22935.29 0.45 0.75  1.16    684.33    360.00
